execution_index,repeat,position_in_repeat,use_cache,warmup,status,included_in_statistics,prompt_tokens,requested_new_tokens,actual_generated_tokens,total_latency_seconds,throughput_tokens_per_second,baseline_allocated_bytes,baseline_reserved_bytes,peak_allocated_bytes,peak_reserved_bytes,peak_allocated_above_baseline_bytes,generated_token_ids_sha256,generated_token_ids
0,0,0,False,False,passed,True,128,32,32,0.7961648609489202,40.192680648905245,3096882688,3313500160,3108743168,3313500160,11860480,03f2061eda3a1b5693ee8f890b0f67f2f80f8e47c4bc26eae03026373b3a7515,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
1,0,1,True,False,passed,True,128,32,32,0.8062373781576753,39.690543836013745,3096882688,3313500160,3109110272,3313500160,12227584,03f2061eda3a1b5693ee8f890b0f67f2f80f8e47c4bc26eae03026373b3a7515,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
2,1,0,True,False,passed,True,128,32,32,0.8011179850436747,39.944178756959815,3096882688,3313500160,3109110272,3313500160,12227584,03f2061eda3a1b5693ee8f890b0f67f2f80f8e47c4bc26eae03026373b3a7515,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
3,1,1,False,False,passed,True,128,32,32,0.7991773011162877,40.04117728982358,3096882688,3313500160,3108743168,3313500160,11860480,03f2061eda3a1b5693ee8f890b0f67f2f80f8e47c4bc26eae03026373b3a7515,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
4,2,0,False,False,passed,True,128,32,32,0.7964651347137988,40.17752768487331,3096882688,3313500160,3108743168,3313500160,11860480,03f2061eda3a1b5693ee8f890b0f67f2f80f8e47c4bc26eae03026373b3a7515,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
5,2,1,True,False,passed,True,128,32,32,0.8050861051306129,39.747301308607845,3096882688,3313500160,3109110272,3313500160,12227584,03f2061eda3a1b5693ee8f890b0f67f2f80f8e47c4bc26eae03026373b3a7515,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
6,3,0,True,False,passed,True,128,32,32,0.802072892896831,39.896623216408955,3096882688,3313500160,3109110272,3313500160,12227584,03f2061eda3a1b5693ee8f890b0f67f2f80f8e47c4bc26eae03026373b3a7515,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
7,3,1,False,False,passed,True,128,32,32,0.7975890627130866,40.120911251150424,3096882688,3313500160,3108743168,3313500160,11860480,03f2061eda3a1b5693ee8f890b0f67f2f80f8e47c4bc26eae03026373b3a7515,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
8,4,0,False,False,passed,True,128,32,32,0.7998332283459604,40.00834032136347,3096882688,3313500160,3108743168,3313500160,11860480,03f2061eda3a1b5693ee8f890b0f67f2f80f8e47c4bc26eae03026373b3a7515,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
9,4,1,True,False,passed,True,128,32,32,0.8013869686983526,39.93077158713447,3096882688,3313500160,3109110272,3313500160,12227584,03f2061eda3a1b5693ee8f890b0f67f2f80f8e47c4bc26eae03026373b3a7515,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
0,0,0,False,False,passed,True,128,64,64,1.6064344309270382,39.83978354041316,3096882688,3315597312,3110895616,3315597312,14012928,3a0a24e756b65588c6b0b34c26c0eac60a1d0be3b12fa35f167c73f149b94c52,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624]"
1,0,1,True,False,passed,True,128,64,64,1.6024355669505894,39.939203372645444,3096882688,3315597312,3109110272,3315597312,12227584,3a0a24e756b65588c6b0b34c26c0eac60a1d0be3b12fa35f167c73f149b94c52,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624]"
2,1,0,True,False,passed,True,128,64,64,1.6015323041938245,39.96172904686813,3096882688,3315597312,3109110272,3315597312,12227584,3a0a24e756b65588c6b0b34c26c0eac60a1d0be3b12fa35f167c73f149b94c52,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624]"
3,1,1,False,False,passed,True,128,64,64,1.603766409214586,39.90606090281114,3096882688,3315597312,3110895616,3315597312,14012928,3a0a24e756b65588c6b0b34c26c0eac60a1d0be3b12fa35f167c73f149b94c52,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624]"
4,2,0,False,False,passed,True,128,64,64,1.6005368400365114,39.98658350065846,3096882688,3315597312,3110895616,3315597312,14012928,3a0a24e756b65588c6b0b34c26c0eac60a1d0be3b12fa35f167c73f149b94c52,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624]"
5,2,1,True,False,passed,True,128,64,64,1.6209914698265493,39.48200912300185,3096882688,3315597312,3109110272,3315597312,12227584,3a0a24e756b65588c6b0b34c26c0eac60a1d0be3b12fa35f167c73f149b94c52,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624]"
6,3,0,True,False,passed,True,128,64,64,1.6133803850971162,39.668264589783995,3096882688,3315597312,3109110272,3315597312,12227584,3a0a24e756b65588c6b0b34c26c0eac60a1d0be3b12fa35f167c73f149b94c52,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624]"
7,3,1,False,False,passed,True,128,64,64,1.6052743252366781,39.86857510510796,3096882688,3315597312,3110895616,3315597312,14012928,3a0a24e756b65588c6b0b34c26c0eac60a1d0be3b12fa35f167c73f149b94c52,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624]"
8,4,0,False,False,passed,True,128,64,64,1.6042360430583358,39.894378559148684,3096882688,3315597312,3110895616,3315597312,14012928,3a0a24e756b65588c6b0b34c26c0eac60a1d0be3b12fa35f167c73f149b94c52,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624]"
9,4,1,True,False,passed,True,128,64,64,1.6080285119824111,39.800289312718384,3096882688,3315597312,3109110272,3315597312,12227584,3a0a24e756b65588c6b0b34c26c0eac60a1d0be3b12fa35f167c73f149b94c52,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624]"
0,0,0,False,False,passed,True,128,128,128,3.2108278018422425,39.865108906357044,3096882688,3338665984,3115215360,3338665984,18332672,2ee1b9adf4c9ef3fb8b614fe6d994e3f2bd58c1b65a8bc1b3344b33d1ef8c336,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 785, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
