execution_index,repeat,position_in_repeat,use_cache,warmup,status,included_in_statistics,prompt_tokens,requested_new_tokens,actual_generated_tokens,total_latency_seconds,throughput_tokens_per_second,baseline_allocated_bytes,baseline_reserved_bytes,peak_allocated_bytes,peak_reserved_bytes,peak_allocated_above_baseline_bytes,generated_token_ids_sha256,generated_token_ids
0,0,0,False,False,passed,True,128,128,128,3.2354926760308444,39.56120838976047,3096882688,3338665984,3115215360,3338665984,18332672,2ee1b9adf4c9ef3fb8b614fe6d994e3f2bd58c1b65a8bc1b3344b33d1ef8c336,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 785, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
1,0,1,True,False,passed,True,128,128,128,3.2383304252289236,39.52654089983774,3096882688,3338665984,3109535744,3338665984,12653056,2ee1b9adf4c9ef3fb8b614fe6d994e3f2bd58c1b65a8bc1b3344b33d1ef8c336,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 785, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
2,1,0,True,False,passed,True,128,128,128,3.2304899310693145,39.622472978156324,3096882688,3338665984,3109535744,3338665984,12653056,2ee1b9adf4c9ef3fb8b614fe6d994e3f2bd58c1b65a8bc1b3344b33d1ef8c336,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 785, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
3,1,1,False,False,passed,True,128,128,128,3.2272973940707743,39.661668687603125,3096882688,3338665984,3115215360,3338665984,18332672,2ee1b9adf4c9ef3fb8b614fe6d994e3f2bd58c1b65a8bc1b3344b33d1ef8c336,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 785, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
4,2,0,False,False,passed,True,128,128,128,3.2267435993999243,39.668475680498474,3096882688,3338665984,3115215360,3338665984,18332672,2ee1b9adf4c9ef3fb8b614fe6d994e3f2bd58c1b65a8bc1b3344b33d1ef8c336,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 785, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
5,2,1,True,False,passed,True,128,128,128,3.2447582143358886,39.44823975927526,3096882688,3338665984,3109535744,3338665984,12653056,2ee1b9adf4c9ef3fb8b614fe6d994e3f2bd58c1b65a8bc1b3344b33d1ef8c336,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 785, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
6,3,0,True,False,passed,True,128,128,128,3.321580660995096,38.535869835433445,3096882688,3338665984,3109535744,3338665984,12653056,2ee1b9adf4c9ef3fb8b614fe6d994e3f2bd58c1b65a8bc1b3344b33d1ef8c336,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 785, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
7,3,1,False,False,passed,True,128,128,128,3.2265917100012302,39.67034304441054,3096882688,3338665984,3115215360,3338665984,18332672,2ee1b9adf4c9ef3fb8b614fe6d994e3f2bd58c1b65a8bc1b3344b33d1ef8c336,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 785, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
8,4,0,False,False,passed,True,128,128,128,3.2218326278962195,39.72894150109249,3096882688,3338665984,3115215360,3338665984,18332672,2ee1b9adf4c9ef3fb8b614fe6d994e3f2bd58c1b65a8bc1b3344b33d1ef8c336,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 785, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
9,4,1,True,False,passed,True,128,128,128,3.229534917976707,39.634189829472895,3096882688,3338665984,3109535744,3338665984,12653056,2ee1b9adf4c9ef3fb8b614fe6d994e3f2bd58c1b65a8bc1b3344b33d1ef8c336,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 785, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
